jurisdiction,country_code,small_jurisdiction,unique_id,lat,lon,region,income_group,population,level,year_imp,date_imp,last_update,update_detail,instrument,structure,basis_specific,basis_advalorem,products,carbonates,concentrates,energy_drinks,juice_unsweetened,juice_sweetened,milk_drinks,lcsb,water_unsweetened,exclusions,tiered,basis_tiers,bev,sug,pom,swe,threshold,rate,targeted,health_obj,earmarked,indexed,legislation,url_1
New Caledonia,NCL,1,NCL2,-21.30185681,165.7023929,EAP,HIC,17703090,National,2017,2017-04-01,N/I,Blank run' from 1/4/17-30/9/19; Entry into full force 1/10/18,VAT/GST,Ad valorem,N/A,N/A,"All SSB, excluding soy milk (HS 2202.99.90)",1,1,1,1,1,1,1,0,"Plain water (HS 2201), plain unsweetened milk, soy milk",0,N/A,0,0,0,0,0,"10% customs duty (DD) on SSB under HS headings 2202 and 2106 (concentrates and syrups); 5% on juices under HS heading 2009. Imports also subject to 3-6% TSPA (Tax in support of local agricultural production - payable on all imports of agricultural origin) + 22% TGC (General consumption tax). Unsweetened water-based beverages (HS 2201) are exempt from customs duty, TSPA and TGC. ",1,1,0,N /A,"Taxe Générale sur la Consommation, Loi du pays no. 2016-14 du 30 Septembre 2016",
New Caledonia,NCL,1,NCL1,-21.30185681,165.7023929,EAP,HIC,N/A,National,2017,2017-04-01,N/I,N/A,Import,Ad valorem,N/A,Import value ,"SSB under HS2202, 2009, 2106",1,1,1,1,1,1,1,0,"Unsweetened water (carbonated or not), soy milk; All products of EU origin",0,N/A,0,0,0,0,0,"22% (highest tier of TGC - General Consumption Tax) on 'sugary drinks' under HS 2202, 2106, 2009",1,0,0,N/A,"New Caledonia Customs Code (updated 2021); Délibération n° 208 du 14 janvier 2022 portant tarif des douanes de Nouvelle-Calédonie et portant diverses dispositions d’ordre fiscal; Taxe Générale sur la Consommation, Loi du pays no. 2016-14 du 30 Septembre 2016",
"Newfoundland and Labrador, Canada",CAN,1,CAN1,52.94232849,-58.36740133,NAR,HIC,N/A,State/Province,2022,2022-09-01,N/I,N/A,Excise,Specific,Volume,N/A,"SSB, including sweetened fruit-flavored juices, sweetened iced tea and lemonades, sweetened sports and energy drinks,and dispensed beverages such as sweetened soda fountain drinks",1,1,1,0,1,0,0,0,"100% juices, milk-based drinks, sweetened dairy alternatives, yoghurt drinks, LCSB, plain water",0,N/A,0,0,0,0,0,"CAD$0.20/L on ready-to-drink beverages to which the manufacturer has added sugar such as regular soft-drinks, sweetened fruit-flavoured juices, sweetened iced-tea and lemonades, sweetened sports and energy drinks, and dispensed beverages such as sweetened soda fountain drinks, slush drinks and fruit juices. $0.20 per litre (based on manufacturer's recommended mixing ratios for finished product) on concentrated drink mixtures, including frozen concentrated sweetened fruit punches, sweetened flavoured drink crystals and powders, and flavoured syrups to which the manufacturer has added sugar. These also include concentrates used to produce dispensed beverages (e.g. post-mix).Where the manufacturer does not provide sufficient directions for finished beverage preparation and/or volume:
$0.80 per litre for frozen concentrated juices,
$2.00 per kilogram for flavoured powders, and
$1.20 per litre for syrups.",1,1,0,0,"Sugar Sweetened Beverage Tax (SSBT), Regulation 60/21 of 28th October 2021, Amendment to Revenue Administraction Act ",
Nicaragua ,NIC,0,NIC,,,LAC,LMIC,6948392,National,2019,2021-01-01,"Rate increased 2020, 2021",N/A,Excise,Ad valorem,N/A,Retail sale price,"All non-alcoholic beverages, sweetened or not-sweetened, carbonated or not",1,1,1,1,1,1,1,1,None,0,N/A,0,0,0,0,0,15% on all non-alcoholic beverages,0,0,0,N/A,"Ley de Concertación Tributaria N 987, 2019",
Niger,NER,0,NER,,,AFR,LIC,26207977,National,2015,2015-05-27,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Non-alcoholic beverages, including fruit juice (HS headings 2202 and 2009), excluding water; Extracts, essences or concentrates of tea and coffee (HS2101)",1,1,1,1,1,1,1,0,Plain water,1,BEV,1,0,0,0,0,"15% on non-alcoholic beverages under HS heading 2202.10 and HS 22.02.90, 10% on extracts, essences and concentrates of tea and coffee (HS 21.01)",1,0,0,N/A,Loi no. 2019-76 du 31 décembre 2019 portant loi de finances pour l´année budgétaire 2020; Loi 2015-38 modifiant la Code Général des Impôts,
Nigeria,NGA,0,NGA,,,AFR,LMIC,218541212,National,2021,2021-12-31,N/I,N/A,Excise,Specific,Volume,N/A,Non-alcoholic carbonated and sugar-sweetened beverages,1,0,1,0,0,0,1,0,Unsweetened and non-carbonated beverages,0,N/A,0,0,0,0,0,"NGN 10/L on non-alcoholic, carbonated and sugar-sweetened beverages",1,1,0,0,"Finance Act 2021, amending the Customs, Excise Tariffs, etc (Consolidated) Act, 2004 (“CETA”); Excise Duty (Non-Alcoholic, Carbonated and Sweetened Beverages) Regulations, 2022",
Niue,NIU,1,NIU,-19.05215294,-169.8584662,EAP,N/C,N/A,National,1969,1969-01-01,2016-07-01,Rate increased from 60% to 80% in 2016,Import,Ad valorem,N/A,Import value ,Sweetened beverages (HS2202) excluding flavored water and flavored milk,1,0,1,0,0,0,1,0,"Plain water, flavored water, flavored milk",0,N/A,0,0,0,0,0,"80% on sweetened beverages under HS2202, excluding flavored water and flavored milk",1,1,0,N/A,Customs Tariff Order 1969; Customs Tariff Act 1982; Customs and Tariff (General Amendment) Regulations 2016,
Northern Mariana Islands,MNP,1,MNP,15.83184335,145.6131105,EAP,HIC,49551,National,1995,1995-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Soft drinks, meaning ""any readily drinkable carbonated or non-carbonated nonalcoholic beverage, other than drinkable dairy products, 100% fruit or vegetable juices, and bottled drinking water""",1,0,1,0,1,0,1,0,"Milk-based drinks, water, 100% juices",0,N/A,0,0,0,0,0,"US$0.005 per fl oz on nonalcoholic beverages, excluding milk-based drinks, 100% fruit or vegetable juices, and unsweetened water",1,0,0,0,"Public Law No. 9-22, Ch 4, Art 2, 1994 ",
"Oakland, USA",USA,1,USA4,39.3064323,-122.2725454,NAR,HIC,N/A,City/County,2017,2017-07-01,N/I,N/A,Excise,Specific,Volume,N/A,"Any beverage to which one or more caloric sweeteners have been added and that contain ≥25 kcals per 12 fluid ounces of beverage and include sodas, sports drinks, sweetened teas, and energy drinks ",1,1,1,0,1,0,0,0,"Milk-based drinks, LCSB, 100% fruit and/or vegetable juice ",0,N/A,0,0,0,0,1,"US¢1 per ounce on any beverage to which one or more caloric sweeteners have been added and that contain ≥25 kcals per 12 fluid ounces of beverage, excluding milk-based drinks",1,1,1,0,"Ord No. 86161, Sugar Sweetened Beverage Product Distribution Tax",
Oman ,OMN,0,OMN,,,MENA,HIC,4576298,National,2019,2019-06-15,2020-10-01,Rate increased and extended to cover all SSB in 2020 (previously applied only to carbonated and energy drinks),Excise,Ad valorem,N/A,Ex-factory or CIF value,"All types of juices, sports drinks, fruit/malt syrups, pre-mixed ready to serve coffee and tea drinks, which “contains sugar or any of its derivatives” (regardless of the percentage of sugar contained). Concentrates, powders, gels, extracts or “any other forms” that can be converted into sweetened drinks.",1,1,1,0,1,0,1,0,"Unsweetened waters, 100% juice, milk and other dairy products that contain at least 75% milk ",1,BEV,1,0,0,0,0,"50% on all ready-to-drink beverages that contain added sugar or other sweeteners as well as concentrates, powder, gel, or extracts intended to be made into an SSB; 100% on energy drinks",1,1,0,N/A,National Excise Tax Law Decree 23/2019,
Pakistan,PAK,0,PAK,,,SAR,LMIC,235824862,National,2005,2005-07-01,2023-03-01,"Federal Excise Duty (FED) rate on carbonated beverages increased from 8% to 13% in 2019. FED on juices withdrawn in 2021. FED on flavored milk and yoghurt-based drinks increased from 10% to 17% in 2022. FED on carbonated beverages increased to 20% and 10% FED imposed on fruit juices, syrups, and squashes, and waters whether or not containing added sugar or artificial sweeteners excluding mineral and aerated water on 1 March 2023. ",Excise,Ad valorem,N/A,Ex-factory or CIF value,"Waters whether or not containing added sugar or artificial sweeteners excluding mineral water; flavored milk and yoghurt; sugary fruit juices, syrups and squashes",1,1,1,1,1,1,1,1,None,1,BEV,1,0,0,0,0,"20% on aerated waters containing added sugar or other sweetening matter or flavored; 17% on flavored milk and yoghurt-based drinks; 10% on fruit juices, syrups and squashes, and waters whether or not containing added sugar or artificial sweeteners excluding mineral and aerated water",0,0,0,N/A,"Federal Excise Act, 2005; Finance Supplementary Act, 2023",
Palau,PLW,1,PLW,7.3663307,134.4340941,EAP,UMIC,18055,National ,2003,2003-09-01,N/I,N/A,Import,Mixed,Volume,Import value ,"Carbonated soft drinks under HS heading 2202, bottled water ",1,0,1,0,0,0,1,1,"Juices, non-carbonated SSB",0,N/A,0,0,0,0,0,$0.10 per 12 fl. oz. on carbonated soft drinks under HS2202; 25% ad valorem on bottled water,0,0,0,0,"Palau National Code, Title 40, Chapter 13, § 1301 - Imposition of import tax; Palau Customs Tariff Schedule HS2012",
Panama,PAN,0,PAN,,,LAC,HIC,4408581,National,1995,1995-11-14,2019-11-18,Rates increased in 2019 ,Excise,Ad valorem,N/A,Retail sale price,Nonalcoholic beverages containing added sugar or sweeteners and concentrated syrups,1,1,1,0,1,0,1,0," Dairy, grain, and cereal-based beverages, natural fruit juices and concentrates, or products with <7.5 g sugar per 100 ml",1,BEV,1,0,0,0,0,7% on carbonated SSB; 5% on other nonalcoholic SSB; 10% on syrups and concentrates used to produce sugary drinks,1,0,0,N/A,"Ley N 45, 14 nov 1995; Ley N 114 of 18 nov 2019",
Paraguay,PRY,0,PRY,,,LAC,UMIC,6780744,National,1992,1992-01-09,2015-12-01,"Rate lowered from 8% to 5% in Dec 2015. Proposal to increase rate to 20% presented to Congress in 2018, not passed. ",Excise,Ad valorem,N/A,Ex-factory or CIF value,Soda and beverages - sweetened or not - without alcohol or with a maximum of 2 percent alcohol; juice of fruits with a maximum of 2 percent alcohol,1,1,1,1,1,1,1,1,None,0,N/A,0,0,0,0,0,5% on all non-alcoholic beverages,0,0,0,N/A,Ley N 5538/15; Ley N 125/91,
Peru ,PER,0,PER,,,LAC,UMIC,34049588,National,1999,1999-04-15,2021-09-01,"From April 1999 to Dec 2006, 19% applied to consumption of specific ""luxury"" goods, including carbonated soda and bottled water (carbonated and non-carbonated) . On 29 Dec 2006, bottled water was made exempt from the ISC, and non-carbonated soft drinks, energy drinks, and sports drinks were added to the list of products covered by the tax . All dairy-based drinks and juices remained exempt. In May 2018, rate increased from 17% to 25% on all SSB (including non-alcoholic beer) containing 6g sugar or more per 100 ml. In June 2019, rate lowered from 17% to 12%  for SSBs containing 0.5 g sugar or less per 100 ml. In Sept 2021, upper threshold was lowered to 5 grams sugar/100ml. ",Excise,Ad valorem,N/A,Retail sale price,"Nonalcoholic beverages, sweetened waters, and 0% alcohol beer ",1,1,1,1,1,1,1,0,"Plain water, 100% juice, plain milk, drinkable yoghurts (incl. sweetened)",1,SUGAR  ,0,1,0,0,0,"25% on beverages with ≥6 g sugar per 100 ml, 17% on drinks with 0.5-6g sugar per 100ml, 12% on drinks with <0.5g sugar per 100ml. Applies to all sweetened beverages excluding drinkable yoghurts and 100% juice",1,1,0,N/A,"Impuesto Selectivo al Consumo (ISC) introduced by Titulo II - Decreto Supremo N 055-99-EF, April, 15, 1999; Decreto Supremo 216-2006-EF; Decreto Supremo N 091-2018-EF, 9 May 2018; Supreme Decree 266-2021-EF",
"Philadelphia, USA",USA,1,USA5,39.95178632,-75.16823173,NAR,HIC,N/A,City/County,2017,2017-07-01,N/I,N/A,Excise,Specific,Volume,N/A,"Any nonalcoholic beverage with caloric sugar-based sweetener or artificial sugar substitute listed as an ingredient, including soda, non-100% fruit and vegetable drinks, sports drinks, flavored water, energy drinks, pre-sweetened coffee or tea, and nonalcoholic beverages intended to be mixed into an alcoholic drink; also, syrups or other concentrates used in beverages (incl. coffee syrups distributed to coffee shops), pre-packaged beverages made with “natural” sweeteners, such as agave, honey, or stevia. Any non-alcoholic beverage that lists as an ingredient:  any form of caloric sugar-based sweetener, including, but not limited to, sucrose, glucose or high fructose corn syrup; or  any form of artificial sugar substitute, including stevia, aspartame, sucralose, neotame, acesulfame potassium (Ace-K), saccharin, and advantame.  Any non-alcoholic syrup or other concentrate that is intended to be used in the preparation of a beverage and that lists as an ingredient: any form of caloric sugar-based sweetener, including, but not limited to, sucrose, glucose or high.fructose corn syrup; or  any form of artificial sugar substitute, including stevia, aspartame, sucralose, neotame, acesulfame potassium (Ace-K), saccharin,  and advantame.",1,1,1,0,1,0,1,0,"Milk-based drinks, 100% fruit and/or vegetable juices",0,N/A,0,0,0,0,0,"US¢1.5 per ounce on all nonalcoholic beverages containing caloric sugar-based sweetener or artificial sugar substitute, including soda, non-100% fruit and vegetable drinks, sports drinks, flavored water, energy drinks, pre-sweetened coffee or tea, concentrtes, and nonalcoholic beverages intended to be mixed into an alcoholic drink.",1,1,1,0,"Sugar Sweetened Beverage Tax, Bill No. 160176",
Philippines ,PHL,0,PHL,,,EAP,LMIC,115559009,National,2018,2018-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Beverages made with caloric and non-caloric sweeteners, including sweetened juice drinks, sweetened tea, all carbonated beverages, flavoured water,energy and sports drinks, powdered drinks not classified as milk, juice, tea or coffee, cereal and grain beverages, and other non-alcoholic beverages that contain added sugar.
",1,1,1,0,1,0,1,0,"All milk products whether sweetened or not, including plain milk, infant formula milk, follow-on milk, growing-up milk, powdered milk, ready-to-drink milk, flavoured milk, fermented milk, soy milk and flavoured soy milk;100% natural fruit and vegetables juices without added sugar or caloric sweeteners; meal-replacement and medically indicated beverages; ground coffee, instant soluble coffee and prepackaged powdered coffee products; and beverages sweetened with coconut sap or stevia glycosides.",1,SWE,0,0,0,1,0,"PHP 6 per liter on drinks containing sugar and artificial sweeteners; PHP 12 per liter on drinks containing HFCS, excluding milk-based drinks and 100% juices",1,1,0,0," Tax Reform for Acceleration and Inclusion (TRAIN) Law, Republic Act No. 10963 of 24th July 2017",
Poland,POL,0,POL,,,ECA,HIC,37561599,National,2021,2021-01-01,N/I,N/A,Excise,Specific,Sugar+Volume,N/A,"Non-alcoholic drinks containing added sugar or artificial sweeteners, caffeine or taurine",1,1,1,0,1,1,1,0,"Sports/isotonic drinks with sugar content less than or equal to 5g sugar/100mL, juice products with content of no less than 20 per cent of fruit or vegetable juice with max. sugar content of 5 g/100 ml, and beverages with milk or milk products as the first/primary ingredient are exempt. Juice drinks with at least 20% juice content and isotonic sports drinks that exceed the sugar limit (of 5g sugar/100mL) are not charged the base fee of PLN 0.5 per L.",1,"BEV, SUGAR",1,1,0,0,0,PLN 0.50 per liter on drinks containing <5g sugar per 100ml. Additional PLN 0.05 per gram of sugar >5g/100ml. Additional PLN 0.09 per L on drinks containing caffeine or taurine. Total soda fee cannot exceed PLN 1.2 per L. ,1,1,0,0,Ustawa z dnia 14 lutego 2020 r. o zmianie niektórych ustaw w związku z promocją prozdrowotnych wyborów konsumentów [Amending certain acts in connection with the promotion of health-promoting choices of consumers],
Portugal,PRT,0,PRT,,,ECA,HIC,10379007,National,2017,2017-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Mineral, flavored, and aerated waters containing added sugar or sweeteners",1,1,1,0,1,0,1,0,"100% juice, milk, dairy alternatives",1,SUGAR  ,0,1,0,0,0,8.22€/hl on SSB containing <80 g sugar/l; 16.46€/hl on SSB containing  ≥80 g sugar/l. Applies to beverages under HS 2202 and concentrates,1,1,1,0,"Diário da República nº 248/2016 Série I de 2016-12-28. Lei 42/2016. Orçamento do Estado para 2017. Secção III. Impostos especiais de consumo. Artigo 211. Imposto sobre o álcool, as bebidas alcoólicas e as bebidas adicionadas de açúcar ou outros edulcorantes (IABA). 2016 Dec 28. Artigo 247.º do/a Lei n.º 114/2017 - Diário da República n.º 249/2017, Série I de 2017-12-29, em vigor a partir de 2018-01-01. Lei n.º 24-D/2022, de 30 de dezembro",
Qatar,QAT,1,QAT,25.28084111,51.19245044,MENA,HIC,2695122,National,2019,2019-01-01,N/I,N/A,Excise,Ad valorem,N/A,Retail sale price," Any aerated beverage (except unflavoured aerated water) such as carbonated water with added sugar, other sweeteners or flavours. Also includes concentrates, powder, gel or extracts intended to be made into an aerated beverage",1,1,1,0,0,0,1,0,"Non-flavored aerated water, non-carbonated sweetened beverages, coffee and tea",1,BEV,1,0,0,0,0,50% on carbonated sweetened drinks and concentrates intended to be made into carbonated drinks; 100% on energy drinks ,1,1,0,N/A,Law No. 25 of 2018 concerning excise tax,
Romania,ROU,0,ROU,,,ECA,HIC,18956666,National,2023,2023-01-01,N/I,N/A,VAT/GST,Ad valorem,N/A,N/A,"Beverages under HS headings 2202 10, and 2202 99",1,0,1,0,0,0,1,0,"Juices, milk, unsweetened waters",0,N/A,0,0,0,0,0,"19% (standard VAT rate) on beverages under HS headings 2202 10, and 2202 99. Reduced rate (9%) previously applied. ",1,1,0,0,"ORDONANŢĂ nr. 16 din 15 iulie 2022 pentru modificarea şi completarea Legii nr. 227/2015 privind Codul fiscal (Government Ordinance no. 16/2022 (art. 93) of 15 July 2022, amending Law no. 227/2015 regarding the Fiscal Code, published in Official Gazette no. 716/15 VII 2022 ",
Russian Federation,RUS,0,RUS,,,ECA,UMIC,143555736,National ,2023,2023-07-01,N/I,N/A,Excise,Specific,Volume,N/A,"Drinks sweetened with added sugar, sugar syrup, or honey, with sugar content > 5g per 100ml",1,1,1,0,0,0,0,0,"Juices, juice-containing drinks, nectars, fruit drinks, syrups, milk, dairy products, jelly and (or) plant-based drinks made from cereal grains, legumes, oilseeds, nuts, coconut and (or) products of their processing, with the exception of tonic drinks and drinks that contain carbon dioxide as a component; Drinks with added sugar < 5g per 100ml",0,N/A,0,0,0,0,1,"7 rubles per liter on drinks sweetened with added sugar, sugar syrup, or honey, with sugar content > 5g per 100ml, excluding juice- and milk-based drinks",1,1,1,0,"Order No. ED-7-3/262@ dated 04/19/2023, Amending the Tax Code of the Russian Federation - Налоговый кодекс Российской Федерации (НК РФ), Глава 22, Статья 181 и Статья 193 ( Chapter 22 “Excises”, Art. 181, para 1, subpara 23, and Art. 193, para 1, subpara 40)",
Rwanda,RWA,0,RWA,,,AFR,LIC,13776698,National,2019,2019-09-13,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Lemonade, soda, juices",1,1,1,1,1,1,1,1,None,1,BEV,1,0,0,0,0,"39% on lemonade, soda and other non-natural juices, 10% on industrial packed mineral water, 5% on natural fruit and vegetable juices",0,0,0,N/A,Law No. 025/2019 of 13/9/2019 establishing the Excise Duty,
Saint Helena,SHN,1,SHN,-25.32020155,-10.40903589,AFR,N/C,N/A,National,2014,2014-01-01,2018-01-01,"Rate increased from ₤0.75 per liter to ₤1.00 per liter in 2018, base extended to include fruit juice",Excise,Specific,Volume,N/A,"Carbonated beverages, juices, and concentrates containing ≥15 g per liter sugar",1,1,1,1,1,0,0,0,"All drinks containing less than 15g sugar per liter, including LCSBs, plain water",0,N/A,0,0,0,0,1,"₤1.00 per liter on carbonated beverages, juices, and concentrates containing ≥15 g sugar per liter ",1,1,0,0,"Customs & Excise (Tariffs) (Amendment) Regulations, 2018",
Saint Kitts and Nevis ,KNA,1,KNA,17.27372785,-62.70333699,LAC,HIC,47657,National,2010,2010-10-26,N/I,N/A,Excise,Ad valorem,N/A,Retail sale price,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured (HS 2202), and other nonalcoholic beverages, not including fruit or vegetable juices of heading 20.09; Beverages containing cocoa and malt beverages (HS 2202.90)",1,0,1,0,0,1,1,0,"Plain water, juices (HS 2009)",0,N/A,0,0,0,0,0,"5% on waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured under HS heading 2202",1,0,0,N/A,"Excise Tax Act No. 4, 2010",
Saint Vincent and the Grenadines,VCT,1,VCT,13.23977522,-61.19004811,LAC,UMIC,103948,National,2007,2007-05-01,N/I,N/A,Excise,Ad valorem,N/A,Retail sale price,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other nonalcoholic beverages",1,0,1,0,0,1,1,0,"Plain water, fruit juices",1,BEV,1,0,0,0,0,"5% on carbonated beverages under HS 2202.101, 10% on other beverages under HS Codes 2202.10.90 and 2202.90.10 (Beverages containing cocoa and Other)",1,0,0,N/A,"Excise Tax Act, Chapter 430, Act No. 16 of 2007, amended by SRO 41 of 2007, Act No. 1 of 2008, SRO 63 of 2008, SRO 2 of 2009",
Samoa ,WSM,1,WSM,-13.74412381,-172.173105,EAP,LMIC,222382,National,1998,1998-01-01,2018-01-01,"Import duty applied 1984-1998, replaced with excise in 1998.Increased to 36 sene per L in 2006, rate increased 2008, 2012, 2015, 2016, 2018 ",Excise,Specific,Volume,N/A,Waters containing added sugar or other sweetening matter or flavoured under HS 2202,1,0,1,0,0,0,1,0,"Plain water, juices",0,N/A,0,0,0,0,0,52.5 sene per L on waters containing added sugar or other sweetening matter or flavoured under HS heading 2202,1,1,0,0,"Excise Tax Rates Amendment Act 1998, 2006, 2012, 2016, 2018",
"San Francisco, USA",USA,1,USA6,37.77308487,-122.4327143,NAR,HIC,N/A,City/County,2018,2018-01-01,N/I,N/A,Excise,Specific,Volume,N/A,Applies to any SSB containing added caloric sweetner and >25 cals per 12 ounces. The tax also applies to syrups and powders that can be made into SSB. ,1,1,1,0,1,0,0,0,"Milk-based drinks, LCSB, 100% fruit and/or vegetable juice ",0,N/A,0,0,0,0,1,"US¢1 per ounce on any SSB containing added caloric sweetener and >25 calories per 12 ounces, and syrups and powders that can be made into SSB",1,1,1,0,Sugary Drinks Distributor Tax Ordinance,
Sao Tome and Principe,STP,1,STP,0.429557786,6.711770156,AFR,LMIC,227380,National,1976,1976-06-01,2017-08-01,Ad valorem tax replaced specific tax in 2017 ,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Products under HS2202.10, 2202.90, 2009, 2106.90",1,1,1,1,1,1,1,0,Plain unsweetened water,1,BEV,1,0,0,0,0,"10% on juices (HS 2009) and products under HS 2202.10, 20% on products under HS 2202.90, 20% with 10% surchage on products under HS 2106.90",1,0,0,N/A,Decreto-Lei n.º 20/76 Taxas Imposto de Consumo (1976); Lei n.º 24/X/2017; Diário da II Série de 11 de Agosto de 2017,
Saudi Arabia,SAU,0,SAU,,,MENA,HIC,36408820,National,2017,2017-01-01,2019-05-15,Base extended in 2019 to cover all SSBs (previously only applied to energy drinks),Excise,Ad valorem,N/A,Retail sale price,All drinks with added sugars ,1,1,1,0,1,0,1,0,"100% juice, milk and dairy products containing at least 75% milk content, dairy alternatives",1,BEV,1,0,0,0,0,100% on energy drinks; 50% on all SSB,1,1,0,N/A,Implementing Regulations for the Excise Tax Law (Selective Tax),
"Seattle, USA",USA,1,USA7,47.60846354,-122.3327721,NAR,HIC,N/A,City/County,2018,2018-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Beverages with caloric sweeteners and the syrups and powders used to prepare them, including sodas, energy drinks, fruit drinks, sweetened teas, and ready-to-drink coffee drinks",1,1,1,0,1,0,0,0,"Drinks with <40 kcals per 12 ounce serving, beverages with milk as the principal ingredient or in which water and grains, nuts, legumes, or seeds constitute the first two ingredients in the product ingredient list, 100% natural fruit and vegetable juice, meal replacement beverages, infant formula, and concentrates used in combination with other ingredients to create a beverage",0,N/A,0,0,0,0,1,"For manufacturers grossing more than $5m worldwide: US¢1.75 per ounce on SSB to which one or more added caloric sweeteners has been added and that contains at least 40 calories per 12 oz serving. For manufacturers grossing more than $2 million and less than $5 million in worldwide income: $.01 per ounce, if they have applied for certification from the city. Products made by manufacturers grossing $2K or less in annual income are not taxed, if they have applied for certification from the city.",1,1,1,0,"Ord No. 125324, Sweetened Beverage Tax ",
Senegal,SEN,0,SEN,,,AFR,LMIC,17316449,National,2001,2001-09-18,2018-03-30,"Rate increased in 2018 from 2.75% to 5%, base extended to include fruit juice",Excise,Ad valorem,N/A,Ex-factory or CIF value,"Soft drinks, being: carbonated water; lemonades, sodas and other carbonated beverages; fruit and vegetable juices",1,0,1,1,1,0,1,1,Non-carbonated soft drinks,0,N/A,0,0,0,0,0,"5% on carbonated water, lemonades, sodas and other carbonated beverages, and fruit and vegetable juices",0,0,0,N/A,LOI n° 2001-07 du 18 septembre 2001 abrogeant et remplaçant certaines dispositions du livre II du Code général des Impôts; Loi n° 2018-10 du 30 mars 2018 modifiant certaines dispositions du Code général des Impôts,
Seychelles,SYC,1,SYC,-6.574269565,51.90401721,AFR,HIC,100060,National,2019,2019-04-01,N/I,N/A,Excise,Specific,Volume,N/A,"All beverages containing >5 g sugar per 100 ml, including milk-based drinks",1,1,1,1,1,1,0,0,Plain water,0,N/A,0,0,0,0,1,"SCR4 per liter on all SSB containing >5g sugar per 100ml, including juices and milk-based drinks",1,1,0,0,"Excise Tax (Amendment of Schedules 1 and 2) (Amendment) Regulations, 2014; Excise Tax Act, Statutory Instrument (SI) 14 of 2019 - Excise Tax (Imposition of Sugar Tax on Drinks) Regulations, 2019",
South Africa,ZAF,0,ZAF,,,AFR,UMIC,59893885,National,2018,2018-04-01,N/I,N/A,Excise,Specific,Sugar,N/A,Sugary beverages (mineral and aerated waters containing added sugar or other sweeteners or flavors and other nonalcoholic beverages) that contain >4 g per 100 ml,1,1,1,0,0,0,0,0,All products under HS 2009 and 2201,0,N/A,0,0,0,0,1,ZAR 0.021 per gram of sugar over 4 g per 100 ml. First 4g of sugar per 100ml levy free. Applies to mineral and aerated waters containing added sugar or other sweeteners or flavors and other nonalcoholic beverages. ,1,1,0,0,"Health Promotion Levy on Sugary Beverages - Rates and Monetary Amounts and Amendment of Revenue Laws Act, 2017 - Act No. 14 of 2017",
South Sudan,SSD,0,SSD,,,AFR,LIC,10913164,National,2009,2009-01-01,N/I,N/A,Excise,Ad valorem,N/A,,"HS 2009 Fruit juices, HS 2201 drinks of water, including natural or artificial mineral waters, HS 2202 soft drinks and other flavored waters",1,1,1,1,1,0,1,1,Milk-based drinks,0,N/A,0,0,0,0,0,"5% on soft drinks and other flavored waters (HS 2202), fruit and vegetable juices (HS 2009), and unsweetened water (HS 2201)",0,0,0,N/A,Financial Act 2022/23,
Spain,ESP,0,ESP,,,ECA,HIC,47615034,National,2021,2021-01-01,N/I,N/A,VAT/GST,Ad valorem,N/A,N/A,"Drinks containing added natural and derived sweeteners and/or sweetening additives, excluding dairy",1,1,1,0,1,0,1,0,Milk-based drinks,0,N/A,0,0,0,0,0,"21% (standard VAT rate) on non-alcoholic beverages containing added natural and derived sweeteners and/or sweetening additives, excluding milk-based drinks and 100% juices. Reduced rate (10%) previously applied. ",1,1,0,N/A,"Ley 37/1992, de 28 de diciembre, del Impuesto sobre el Valor Anadido, última modificación: 9 de abril de 2022",
Sri Lanka,LKA,0,LKA,,,SAR,LMIC,22181000,National,2018,2018-12-01,2020-12-01,"Rate lowered in Dec 2018 from 50c per gram sugar to 30c per gram sugar and base extended to cover all SSB. Minimum sugar content threshold of 6g per 100ml on products under HS 2202, and 8g per 100ml on ""beverages based on fruit and vegetable juices"" introduced in Dec 2020. ",Excise,Specific,Sugar+Volume,N/A,"All SSB, excl. milk-based drinks",1,1,1,1,1,0,1,0,Milk-based drinks,1,BEV,1,0,0,0,1,"Rs. 12 per litre or 30cts per gram of sugar, excluding first 6g per 100ml, whichever is higher on beverages under HS 2202.10 and energy drinks (HS 2202.99.30). 30cts per gram sugar, excluding 8g per 100ml on beverages based on fruit and vegetable juices.  ",1,1,0,0,"Excise (Special Provisions) Act No. 13 of 1989, Ordinance No. 2044/32 of 9th November 2017",
